n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;seed;beta;gamma;dim
100;786;15.72;33;4;0.5887731856867691;0.5046968403074296;2.2775757575757574;3.0338562986177924;10;85;9;0.05;0.04;2
100;706;14.12;32;4;0.5749878920737251;0.49140738060781475;2.3505050505050504;6.197824525570656;19;22;0;0.05;0.05;2
100;927;18.54;39;4;0.6095971339686364;0.5252496020836348;2.1315151515151514;2.6521924484564234;10;87;1;0.05;0.05;2
100;904;18.08;33;7;0.6020104649537914;0.5259460057534853;2.1707070707070706;6.16618629001372;21;39;2;0.05;0.05;2
100;685;13.7;27;3;0.5616626538908812;0.5025427176566314;2.4325252525252523;9.132933760962173;20;11;3;0.05;0.05;2
100;654;13.08;32;4;0.5767301794233145;0.508781210325857;2.473333333333333;5.938251064653673;16;29;4;0.05;0.05;2
100;827;16.54;36;6;0.6061339453320926;0.5149138596040113;2.2074747474747474;5.468978527896363;20;33;5;0.05;0.05;2
100;793;15.86;35;4;0.6114266800294557;0.5062753036437248;2.2581818181818183;5.016678088455267;20;29;6;0.05;0.05;2
100;760;15.2;32;3;0.5961361541858495;0.5016872890888638;2.2618181818181817;7.097353397805944;22;24;7;0.05;0.05;2
100;718;14.36;35;3;0.5651346309653837;0.5055185778077345;2.3614141414141416;3.7434712326958164;13;52;8;0.05;0.05;2
100;793;15.86;34;4;0.5905418272939947;0.5053801006148686;2.267878787878788;6.890591540211529;22;23;9;0.05;0.05;2
100;717;14.34;34;4;0.5816908585786588;0.4947589098532495;2.3284848484848486;5.859346258462978;19;22;0;0.05;0.06;2
100;944;18.88;40;4;0.6106095006650503;0.5255831277061316;2.1165656565656565;2.6411426957750335;10;89;1;0.05;0.06;2
100;912;18.24;34;7;0.6025946226230761;0.5262471470492338;2.1626262626262625;6.119204167574856;21;40;2;0.05;0.06;2
100;697;13.94;28;3;0.5657533434050731;0.5027327737653718;2.4084848484848487;7.9292629765382365;20;12;3;0.05;0.06;2
100;663;13.26;32;4;0.5796938731615452;0.5101936277020797;2.4523232323232325;6.772307285673721;20;12;4;0.05;0.06;2
100;840;16.8;42;6;0.6098164239736836;0.517170840565336;2.1866666666666665;6.711768841988823;24;19;5;0.05;0.06;2
100;804;16.08;36;4;0.6125715910799279;0.5069925499934649;2.2474747474747474;3.932495573959507;16;45;6;0.05;0.06;2
100;764;15.28;32;3;0.5946660159826983;0.5010410469958358;2.2563636363636363;6.9131705323911365;22;24;7;0.05;0.06;2
100;727;14.54;36;4;0.566804046297333;0.5052216100649618;2.3533333333333335;8.180840483431417;25;9;8;0.05;0.06;2
100;804;16.08;34;4;0.592277748338752;0.5076891809498002;2.26020202020202;7.060983344714737;22;26;9;0.05;0.06;2
100;727;14.54;35;4;0.5877432688199292;0.4952147031422038;2.3084848484848486;7.6590660067763;24;10;0;0.05;0.07;2
100;953;19.06;41;4;0.6133818301724875;0.5270843791356729;2.109292929292929;7.831049718532239;29;24;1;0.05;0.07;2
